src,dst,weight
95,216,0.10791512778011011
95,217,0.07752982688360727
95,215,0.07751181751553092
95,97,0.05571904621259617
96,95,0.11145815068732115
96,97,0.1114180289672469
96,217,0.10791512778011011
96,216,0.07752982688360727
96,218,0.07751631949125264
96,94,0.05571570293628512
97,96,0.1114180289672469
97,98,0.11140466147878396
97,218,0.10791512778011011
97,217,0.07751631949125264
97,219,0.07751181751553092
97,95,0.05571904621259617
98,99,0.11145815068729856
98,97,0.11140466147878396
98,219,0.10791512778011011
98,220,0.07752982688359968
98,218,0.07751181751553092
98,100,0.05571904621260182
99,98,0.11145815068729856
99,100,0.11141802896729205
99,220,0.10791512778011011
99,219,0.07752982688359968
99,221,0.07751631949126785
99,97,0.05571570293627947
100,99,0.11141802896729205
100,101,0.11140466147878396
100,221,0.10791512778011011
100,220,0.07751631949126785
100,222,0.07751181751553092
100,98,0.05571904621260182
101,102,0.11145815068729856
101,100,0.11140466147878396
101,222,0.10791512778011011
101,223,0.07752982688359968
101,221,0.07751181751553092
101,103,0.05571904621259052
102,101,0.11145815068729856
102,103,0.1114180289672469
102,223,0.10791512778011011
102,222,0.07752982688359968
102,224,0.07751631949125264
102,100,0.05571570293627947
103,102,0.1114180289672469
103,104,0.11140466147878396
103,224,0.10791512778011011
103,223,0.07751631949125264
103,225,0.07751181751553092
103,101,0.05571904621259052
104,105,0.11145815068732115
104,103,0.11140466147878396
104,225,0.10791512778011011
104,226,0.07752982688360727
104,224,0.07751181751553092
104,106,0.05571904621259617
105,104,0.11145815068732115
105,106,0.1114180289672469
105,226,0.10791512778011011
105,225,0.07752982688360727
105,227,0.07751631949125264
105,103,0.05571570293628512
106,105,0.1114180289672469
106,107,0.11140466147880654
106,227,0.10791512778011011
106,226,0.07751631949125264
106,228,0.07751181751553851
106,104,0.05571904621259617
107,108,0.11145815068729856
107,106,0.11140466147880654
107,228,0.10791512778011011
107,229,0.07752982688359968
107,227,0.07751181751553851
107,109,0.05571904621259617
108,107,0.11145815068729856
108,109,0.11141802896726948
108,229,0.10791512778011011
108,228,0.07752982688359968
108,230,0.07751631949126023
108,106,0.05571570293628512
109,108,0.11141802896726948
109,110,0.11140466147878396
109,230,0.10791512778011011
109,229,0.07751631949126023
109,231,0.07751181751553092
109,107,0.05571904621259617
110,111,0.11145815068729856
110,109,0.11140466147878396
110,231,0.10791512778011011
110,232,0.07752982688359968
110,230,0.07751181751553092
110,112,0.05571904621259617
111,110,0.11145815068729856
111,112,0.11141802896726948
111,232,0.10791512778011011
111,231,0.07752982688359968
111,233,0.07751631949126023
111,109,0.05571570293627947
112,111,0.11141802896726948
112,113,0.11140466147878396
112,233,0.10791512778011011
112,232,0.07751631949126023
112,234,0.07751181751553092
112,110,0.05571904621259617
113,114,0.11145815068729856
113,112,0.11140466147878396
113,234,0.10791512778011011
113,235,0.07752982688359968
113,233,0.07751181751553092
113,115,0.05571904621259052
114,113,0.11145815068729856
114,115,0.1114180289672469
114,235,0.10791512778011011
114,234,0.07752982688359968
114,236,0.07751631949125264
114,112,0.05571570293627947
115,114,0.1114180289672469
115,116,0.11140466147880654
115,236,0.10791512778011011
115,235,0.07751631949125264
115,237,0.07751181751553851
115,113,0.05571904621259052
116,117,0.11145815068732115
116,115,0.11140466147880654
116,237,0.10791512778011011
116,238,0.07752982688360727
116,236,0.07751181751553851
116,118,0.05571904621259617
117,116,0.11145815068732115
117,118,0.1114180289672469
117,238,0.10791512778011011
117,237,0.07752982688360727
117,239,0.07751631949125264
117,115,0.055715702936290766
118,117,0.1114180289672469
118,119,0.11140466147878396
118,239,0.10791512778011011
118,238,0.07751631949125264
118,240,0.07751181751553092
118,116,0.05571904621259617
119,120,0.11145815068732115
119,118,0.11140466147878396
119,240,0.10791512778011011
119,241,0.07752982688360727
119,239,0.07751181751553092
119,117,0.05570567551414558
120,119,0.11145815068732115
120,241,0.10791512778011011
120,240,0.07752982688360727
120,118,0.05571570293628512
120,362,0.05395756680147325
120,239,0.049506839453584243
121,122,0.1114180289672469
121,0,0.10791512778011011
121,242,0.10791512778010746
121,1,0.07751631949125264
121,243,0.07751631949125165
121,123,0.05570567551414558
122,121,0.1114180289672469
122,123,0.11140466147878396
122,1,0.10791512778011011
122,243,0.10791512778010746
122,0,0.07751631949125264
122,242,0.07751631949125165
123,124,0.11145815068732115
123,122,0.11140466147878396
123,2,0.10791512778011011
123,244,0.10791512778010746
123,3,0.07752982688360727
123,245,0.0775298268836063
124,123,0.11145815068732115
124,125,0.1114180289672469
124,3,0.10791512778011011
124,245,0.10791512778010746
124,2,0.07752982688360727
124,244,0.0775298268836063
125,124,0.1114180289672469
125,126,0.11140466147880654
125,4,0.10791512778011011
125,246,0.10791512778010746
125,3,0.07751631949125264
125,245,0.07751631949125165
126,127,0.11145815068727596
126,125,0.11140466147880654
126,5,0.10791512778011011
126,247,0.10791512778010746
126,6,0.07752982688359207
126,248,0.07752982688359107
127,126,0.11145815068727596
127,128,0.11141802896726948
127,6,0.10791512778011011
127,248,0.10791512778010746
127,5,0.07752982688359207
127,247,0.07752982688359107
128,127,0.11141802896726948
128,129,0.11140466147880654
128,7,0.10791512778011011
128,249,0.10791512778010746
128,6,0.07751631949126023
